activity,activities_code,states,activities_name
food,indu,in,indiana dunes national park
food,isro,mi,isle royale national park
food,jeff,mo,gateway arch national park
food,jotr,ca,joshua tree national park
food,katm,ak,katmai national park and preserve
food,keaq,dc,kenilworth park and aquatic gardens
food,kefj,ak,kenai fjords national park
food,kewe,mi,keweenaw national historical park
food,klgo,ak,klondike gold rush national historical park
food,knri,nd,knife river indian villages national historic site
food,labe,ca,lava beds national monument
food,lake,"az,nv",lake mead national recreation area
food,lamr,tx,lake meredith national recreation area
food,laro,wa,lake roosevelt national recreation area
food,lavo,ca,lassen volcanic national park
food,lewi,"or,wa",lewis and clark national historical park
food,libo,in,lincoln boyhood national memorial
food,liri,al,little river canyon national preserve
food,lode,"pa,nj",lower delaware national wild and scenic river
food,maac,me,maine acadian culture
food,mabi,vt,marsh - billings - rockefeller national historical park
food,maca,ky,mammoth cave national park
food,mall,dc,**********national mall**********
food,manz,ca,manzanar national historic site
food,mava,ny,martin van buren national historic site
food,meve,co,mesa verde national park
food,mnrr,"sd,ne",missouri national recreational river
food,moca,az,montezuma castle national monument
food,moja,ca,mojave national preserve
food,mora,wa,mount rainier national park
food,moru,sd,mount rushmore national memorial
food,muwo,ca,muir woods national monument
food,natr,"al,ms,tn",natchez trace parkway
food,neen,"ma,ct",new england national scenic trail
food,nepe,"id,mt,or,wa",nez perce national historical park
food,neri,wv,new river gorge national park and preserve
food,npnh,ny,national parks of new york harbor
food,ocmu,ga,ocmulgee mounds national historical park
food,olym,wa,olympic national park
food,orca,or,oregon caves national monument and preserve
food,oxhi,md,oxon cove park and oxon hill farm
food,pagr,nj,paterson great falls national historical park
food,peco,nm,pecos national historical park
food,pefo,az,petrified forest national park
food,pinn,ca,pinnacles national park
food,pipe,mn,pipestone national monument
food,piro,mi,pictured rocks national lakeshore
food,pisp,az,pipe spring national monument
food,pore,ca,point reyes national seashore
food,prwi,va,prince william forest park
food,puho,hi,puuhonua o honaunau national historical park
food,redw,ca,redwood national and state parks
food,rigr,tx,rio grande wild and scenic river
food,rira,mi,river raisin national battlefield park
food,rocr,dc,rock creek park
food,rowi,ri,roger williams national memorial
food,saga,nh,saint-gaudens national historical park
food,sahi,ny,sagamore hill national historic site
food,sajh,wa,san juan island national historical park
food,saju,pr,san juan national historic site
food,sapa,ny,saint paul's church national historic site
food,sapu,nm,salinas pueblo missions national monument
food,sara,ny,saratoga national historical park
food,scbl,ne,scotts bluff national monument
food,seki,ca,sequoia and kings canyon national parks
food,shen,va,shenandoah national park
food,shil,"tn,ms",shiloh national military park
food,sitk,ak,sitka national historical park
food,stea,pa,steamtown national historic site
food,stli,ny,statue of liberty national monument
food,stri,tn,stones river national battlefield
food,stsp,"dc,md,va",star-spangled banner national historic trail
food,tapr,ks,tallgrass prairie national preserve
food,thri,ny,theodore roosevelt inaugural national historic site
food,thro,nd,theodore roosevelt national park
food,timu,fl,timucuan ecological and historic preserve
food,tont,az,tonto national monument
food,tuma,az,tumacacori national historical park
food,tusk,nv,tule springs fossil beds national monument
food,vall,nm,valles caldera national preserve
food,vick,"ms,la",vicksburg national military park
food,viis,vi,virgin islands national park
food,voya,mn,voyageurs national park
food,whis,ca,whiskeytown national recreation area
food,whmi,wa,whitman mission national historic site
food,whsa,nm,white sands national park
food,wica,sd,wind cave national park
food,wicl,ar,president william jefferson clinton birthplace home national historic site
food,wicr,mo,wilson's creek national battlefield
food,wiho,oh,william howard taft national historic site
food,wotr,va,wolf trap national park for the performing arts
food,wupa,az,wupatki national monument
food,yell,"id,mt,wy",yellowstone national park
food,yose,ca,yosemite national park
golf,caco,ma,cape cod national seashore
golf,deva,"ca,nv",death valley national park
golf,nama,dc,national mall and memorial parks
golf,prsf,ca,presidio of san francisco
golf,rocr,dc,rock creek park
guided tours,abli,ky,abraham lincoln birthplace national historical park
guided tours,acad,me,acadia national park
guided tours,adam,ma,adams national historical park
guided tours,afam,dc,african american civil war memorial
guided tours,afbg,ny,african burial ground national monument
guided tours,agfo,ne,agate fossil beds national monument
guided tours,aleu,ak,aleutian islands world war ii national historic area
guided tours,alfl,tx,alibates flint quarries national monument
guided tours,alka,hi,ala kahakai national historic trail
guided tours,alpo,pa,allegheny portage railroad national historic site
guided tours,amch,co,amache national historic site
guided tours,amme,mp,american memorial park
guided tours,anac,dc,anacostia park
guided tours,ande,ga,andersonville national historic site
guided tours,anjo,tn,andrew johnson national historic site
guided tours,anti,md,antietam national battlefield
guided tours,apco,va,appomattox court house national historical park
guided tours,apis,wi,apostle islands national lakeshore
guided tours,appa,"ct,ga,ma,md,me,nc,nh,nj,ny,pa,tn,va,vt,wv",appalachian national scenic trail
guided tours,arch,ut,arches national park
guided tours,arho,va,"arlington house, the robert e. lee memorial"
guided tours,arpo,ar,arkansas post national memorial
guided tours,asis,"md,va",assateague island national seashore
guided tours,azru,nm,aztec ruins national monument
guided tours,band,nm,bandelier national monument
guided tours,beol,co,bent's old fort national historic site
guided tours,bepa,dc,belmont-paul women's equality national monument
guided tours,bibe,tx,big bend national park
guided tours,bica,"mt,wy",bighorn canyon national recreation area
guided tours,bicr,al,birmingham civil rights national monument
guided tours,bicy,fl,big cypress national preserve
guided tours,biho,mt,big hole national battlefield
guided tours,bisc,fl,biscayne national park
guided tours,blrv,"ri,ma",blackstone river valley national historical park
guided tours,blue,wv,bluestone national scenic river
guided tours,boaf,ma,boston african american national historic site
guided tours,boha,ma,boston harbor islands national recreation area
guided tours,bost,ma,boston national historical park
guided tours,bowa,va,booker t washington national monument
guided tours,brca,ut,bryce canyon national park
guided tours,brcr,ms,brices cross roads national battlefield site
guided tours,buff,ar,buffalo national river
guided tours,cach,az,canyon de chelly national monument
guided tours,cacl,ny,castle clinton national monument
guided tours,caco,ma,cape cod national seashore
guided tours,cagr,az,casa grande ruins national monument
guided tours,cahi,dc,capitol hill parks
guided tours,cajo,"va,md,de,dc,pa,ny",captain john smith chesapeake national historic trail
guided tours,cali,"ca,co,id,ks,mo,ne,nv,or,ut,wy",california national historic trail
guided tours,came,va,cape henry memorial part of colonial national historical park
guided tours,cana,fl,canaveral national seashore
guided tours,cany,ut,canyonlands national park
guided tours,care,ut,capitol reef national park
guided tours,cari,la,cane river creole national historical park
guided tours,carl,nc,carl sandburg home national historic site
guided tours,cave,nm,carlsbad caverns national park
guided tours,cavo,nm,capulin volcano national monument
guided tours,cawo,dc,carter g. woodson home national historic site
guided tours,cbpo,"dc,de,md,ny,pa,va,wv",chesapeake bay
guided tours,cebe,va,cedar creek and belle grove national historical park
guided tours,cebr,ut,cedar breaks national monument
guided tours,cech,ca,cesar e. chavez national monument
guided tours,cham,tx,chamizal national memorial
guided tours,chch,"ga,tn",chickamauga and chattanooga national military park
guided tours,chcu,nm,chaco culture national historical park
guided tours,chis,ca,channel islands national park
guided tours,choh,"dc,md,wv",chesapeake and ohio canal national historical park
guided tours,chpi,sc,charles pinckney national historic site
guided tours,chri,vi,christiansted national historic site
guided tours,chsc,ar,little rock central high school national historic site
guided tours,chyo,oh,charles young buffalo soldiers national monument
guided tours,ciro,id,city of rocks national reserve
guided tours,clba,md,clara barton national historic site
guided tours,colo,va,colonial national historical park
guided tours,cong,sc,congaree national park
guided tours,coro,az,coronado national memorial
guided tours,cowp,sc,cowpens national battlefield
guided tours,crla,or,crater lake national park
guided tours,cuga,"ky,tn,va",cumberland gap national historical park
guided tours,cuis,ga,cumberland island national seashore
guided tours,cwdw,"dc,md,va",civil war defenses of washington
guided tours,daav,oh,dayton aviation heritage national historical park
guided tours,ddem,dc,dwight d. eisenhower memorial
guided tours,dena,ak,denali national park and preserve
guided tours,deva,"ca,nv",death valley national park
guided tours,dewa,"nj,pa",delaware water gap national recreation area
guided tours,dino,"co,ut",dinosaur national monument
guided tours,drto,fl,dry tortugas national park
guided tours,ebla,wa,ebey's landing national historical reserve
guided tours,edal,pa,edgar allan poe national historic site
guided tours,edis,nj,thomas edison national historical park
guided tours,efmo,ia,effigy mounds national monument
guided tours,eise,pa,eisenhower national historic site
guided tours,elis,"nj,ny",ellis island part of statue of liberty national monument
guided tours,elma,nm,el malpais national monument
guided tours,elmo,nm,el morro national monument
guided tours,elro,ny,eleanor roosevelt national historic site
guided tours,euon,ca,eugene o'neill national historic site
guided tours,ever,fl,everglades national park
guided tours,feha,ny,federal hall national memorial
guided tours,fiis,ny,fire island national seashore
guided tours,fila,oh,first ladies national historic site
guided tours,flfo,co,florissant fossil beds national monument
guided tours,flni,pa,flight 93 national memorial
guided tours,foda,tx,fort davis national historic site
guided tours,fodo,"ky,tn",fort donelson national battlefield
guided tours,fofr,ga,fort frederica national monument
guided tours,fola,wy,fort laramie national historic site
guided tours,fols,ks,fort larned national historic site
guided tours,fomc,md,fort mchenry national monument and historic shrine
guided tours,fomr,va,fort monroe national monument
guided tours,fone,pa,fort necessity national battlefield
guided tours,fopu,ga,fort pulaski national monument
guided tours,fosc,ks,fort scott national historic site
guided tours,fosm,"ar,ok",fort smith national historic site
guided tours,fost,ny,fort stanwix national monument
guided tours,fosu,sc,fort sumter and fort moultrie national historical park
guided tours,foth,dc,ford's theatre national historic site
guided tours,foun,nm,fort union national monument
guided tours,fous,"mt,nd",fort union trading post national historic site
guided tours,fova,"or,wa",fort vancouver national historic site
guided tours,fowa,md,fort washington park
guided tours,frde,dc,franklin delano roosevelt memorial
guided tours,frdo,dc,frederick douglass national historic site
guided tours,frhi,pa,friendship hill national historic site
guided tours,frla,ma,frederick law olmsted national historic site
guided tours,frri,al,freedom riders national monument
guided tours,frsp,va,fredericksburg and spotsylvania national military park
guided tours,gate,"ny,nj",gateway national recreation area
guided tours,gegr,ny,general grant national memorial
guided tours,gero,in,george rogers clark national historical park
guided tours,gett,pa,gettysburg national military park
guided tours,gewa,va,george washington birthplace national monument
guided tours,gicl,nm,gila cliff dwellings national monument
guided tours,glac,mt,glacier national park
guided tours,glba,ak,glacier bay national park and preserve
guided tours,glca,"az,ut",glen canyon national recreation area
guided tours,glec,md,glen echo park
guided tours,goga,ca,golden gate national recreation area
guided tours,gois,ny,governors island national monument
guided tours,gosp,ut,golden spike national historical park
guided tours,grba,nv,great basin national park
guided tours,grca,az,grand canyon national park
guided tours,greg,nj,great egg harbor river
guided tours,grfa,va,great falls park
guided tours,grko,mt,grant-kohrs ranch national historic site
guided tours,grpo,mn,grand portage national monument
guided tours,grsa,co,great sand dunes national park and preserve
guided tours,grsm,"nc,tn",great smoky mountains national park
guided tours,grte,wy,grand teton national park
guided tours,guco,nc,guilford courthouse national military park
guided tours,guis,"fl,ms",gulf islands national seashore
guided tours,gumo,tx,guadalupe mountains national park
guided tours,gwca,mo,george washington carver national monument
guided tours,hafe,"wv,va,md",harpers ferry national historical park
guided tours,hafo,id,hagerman fossil beds national monument
guided tours,hagr,ny,hamilton grange national memorial
guided tours,hale,hi,haleakala national park
guided tours,hamp,md,hampton national historic site
guided tours,hatu,md,harriet tubman underground railroad national historical park
guided tours,havo,hi,hawaii volcanoes national park
guided tours,heho,ia,herbert hoover national historic site
guided tours,hobe,al,horseshoe bend national military park
guided tours,hocu,oh,hopewell culture national historical park
guided tours,hofr,ny,home of franklin d roosevelt national historic site
guided tours,hofu,pa,hopewell furnace national historic site
guided tours,home,ne,homestead national historical park
guided tours,hosp,ar,hot springs national park
guided tours,hstr,mo,harry s truman national historic site
guided tours,hutr,az,hubbell trading post national historic site
guided tours,iafl,"wa,or,id,mt",ice age floods national geologic trail
guided tours,inde,pa,independence national historical park
guided tours,indu,in,indiana dunes national park
guided tours,isro,mi,isle royale national park
guided tours,jaga,oh,james a garfield national historic site
guided tours,jame,va,historic jamestowne part of colonial national historical park
guided tours,jazz,la,new orleans jazz national historical park
guided tours,jeca,sd,jewel cave national monument
guided tours,jeff,mo,gateway arch national park
guided tours,jela,la,jean lafitte national historical park and preserve
guided tours,jica,ga,jimmy carter national historical park
guided tours,jofi,ma,john fitzgerald kennedy national historic site
guided tours,jofl,pa,johnstown flood national memorial
guided tours,jomu,ca,john muir national historic site
guided tours,jotr,ca,joshua tree national park
guided tours,juba,"az,ca",juan bautista de anza national historic trail
guided tours,kaho,hi,kaloko-honokohau national historical park
guided tours,kala,hi,kalaupapa national historical park
guided tours,katm,ak,katmai national park and preserve
guided tours,keaq,dc,kenilworth park and aquatic gardens
guided tours,kefj,ak,kenai fjords national park
guided tours,kemo,ga,kennesaw mountain national battlefield park
guided tours,kewe,mi,keweenaw national historical park
guided tours,kimo,sc,kings mountain national military park
guided tours,klgo,ak,klondike gold rush national historical park
guided tours,klse,wa,klondike gold rush - seattle unit national historical park
guided tours,knri,nd,knife river indian villages national historic site
guided tours,kowa,dc,korean war veterans memorial
guided tours,labe,ca,lava beds national monument
guided tours,lacl,ak,lake clark national park and preserve
guided tours,lake,"az,nv",lake mead national recreation area
guided tours,lamr,tx,lake meredith national recreation area
guided tours,lavo,ca,lassen volcanic national park
guided tours,lecl,"ia,id,il,in,ks,ky,mo,mt,ne,nd,oh,or,pa,sd,wa,wv",lewis and clark national historic trail
guided tours,lewi,"or,wa",lewis and clark national historical park
guided tours,libi,mt,little bighorn battlefield national monument
guided tours,libo,in,lincoln boyhood national memorial
guided tours,liho,il,lincoln home national historic site
guided tours,linc,dc,lincoln memorial
guided tours,loea,ny,lower east side tenement museum national historic site
guided tours,long,ma,longfellow house washington's headquarters national historic site
guided tours,lowe,ma,lowell national historical park
guided tours,lyjo,tx,lyndon b johnson national historical park
guided tours,mabi,vt,marsh - billings - rockefeller national historical park
guided tours,maca,ky,mammoth cave national park
guided tours,mall,dc,**********national mall**********
guided tours,malu,ga,"martin luther king, jr. national historical park"
guided tours,mamc,dc,mary mcleod bethune council house national historic site
guided tours,mana,va,manassas national battlefield park
guided tours,manz,ca,manzanar national historic site
guided tours,mapr,"nm,wa,tn",manhattan project national historical park
guided tours,mava,ny,martin van buren national historic site
guided tours,mawa,va,maggie l walker national historic site
guided tours,meve,co,mesa verde national park
guided tours,miin,"id,wa",minidoka national historic site
guided tours,mima,ma,minute man national historical park
guided tours,mimi,sd,minuteman missile national historic site
guided tours,misp,ky,mill springs battlefield national monument
guided tours,mlkm,dc,"martin luther king, jr. memorial"
guided tours,mnrr,"sd,ne",missouri national recreational river
guided tours,moca,az,montezuma castle national monument
guided tours,mocr,nc,moores creek national battlefield
guided tours,mono,md,monocacy national battlefield
guided tours,mopi,"il,ia,ne,ut,wy",mormon pioneer national historic trail
guided tours,mora,wa,mount rainier national park
guided tours,morr,nj,morristown national historical park
guided tours,moru,sd,mount rushmore national memorial
guided tours,muwo,ca,muir woods national monument
guided tours,nama,dc,national mall and memorial parks
guided tours,natc,ms,natchez national historical park
guided tours,natr,"al,ms,tn",natchez trace parkway
guided tours,nava,az,navajo national monument
guided tours,nepe,"id,mt,or,wa",nez perce national historical park
guided tours,neph,il,new philadelphia national historic site
guided tours,neri,wv,new river gorge national park and preserve
guided tours,nico,ks,nicodemus national historic site
guided tours,niob,ne,niobrara national scenic river
guided tours,nisi,sc,ninety six national historic site
guided tours,noca,wa,north cascades national park
guided tours,noco,"mi,mn,nd,ny,oh,pa,vt,wi",north country national scenic trail
guided tours,npnh,ny,national parks of new york harbor
guided tours,ocmu,ga,ocmulgee mounds national historical park
guided tours,okci,ok,oklahoma city national memorial
guided tours,olym,wa,olympic national park
guided tours,orca,or,oregon caves national monument and preserve
guided tours,oreg,"id,ks,mo,ne,or,wa,wy",oregon national historic trail
guided tours,orpi,az,organ pipe cactus national monument
guided tours,ovvi,"nc,sc,tn,va",overmountain victory national historic trail
guided tours,oxhi,md,oxon cove park and oxon hill farm
guided tours,ozar,mo,ozark national scenic riverways
guided tours,paal,tx,palo alto battlefield national historical park
guided tours,paav,dc,pennsylvania avenue
guided tours,pagr,nj,paterson great falls national historical park
guided tours,peco,nm,pecos national historical park
guided tours,pefo,az,petrified forest national park
guided tours,peri,ar,pea ridge national military park
guided tours,pete,va,petersburg national battlefield
guided tours,pipe,mn,pipestone national monument
guided tours,piro,mi,pictured rocks national lakeshore
guided tours,pisp,az,pipe spring national monument
guided tours,poch,ca,port chicago naval magazine national memorial
guided tours,poex,"ca,co,ks,mo,ne,nv,ut,wy",pony express national historic trail
guided tours,popo,la,poverty point national monument
guided tours,pore,ca,point reyes national seashore
guided tours,prsf,ca,presidio of san francisco
guided tours,prwi,va,prince william forest park
guided tours,puhe,hi,puukohola heiau national historic site
guided tours,puho,hi,puuhonua o honaunau national historical park
guided tours,pull,il,pullman national historical park
guided tours,rabr,ut,rainbow bridge national monument
guided tours,redw,ca,redwood national and state parks
guided tours,reer,sc,reconstruction era national historical park
guided tours,rich,va,richmond national battlefield park
guided tours,rira,mi,river raisin national battlefield park
guided tours,rocr,dc,rock creek park
guided tours,rori,ca,rosie the riveter wwii home front national historical park
guided tours,rowi,ri,roger williams national memorial
guided tours,ruca,al,russell cave national monument
guided tours,saan,tx,san antonio missions national historical park
guided tours,safe,"co,ks,mo,nm,ok",santa fe national historic trail
guided tours,safr,ca,san francisco maritime national historical park
guided tours,saga,nh,saint-gaudens national historical park
guided tours,sagu,az,saguaro national park
guided tours,sahi,ny,sagamore hill national historic site
guided tours,sair,ma,saugus iron works national historic site
guided tours,sajh,wa,san juan island national historical park
guided tours,saju,pr,san juan national historic site
guided tours,sama,ma,salem maritime national historical park
guided tours,sand,co,sand creek massacre national historic site
guided tours,sapa,ny,saint paul's church national historic site
guided tours,sapu,nm,salinas pueblo missions national monument
guided tours,sara,ny,saratoga national historical park
guided tours,scbl,ne,scotts bluff national monument
guided tours,seki,ca,sequoia and kings canyon national parks
guided tours,semo,al,selma to montgomery national historic trail
guided tours,shil,"tn,ms",shiloh national military park
guided tours,sitk,ak,sitka national historical park
guided tours,slbe,mi,sleeping bear dunes national lakeshore
guided tours,spar,ma,springfield armory national historic site
guided tours,stea,pa,steamtown national historic site
guided tours,stge,mo,ste. genevieve national historical park
guided tours,stli,ny,statue of liberty national monument
guided tours,ston,ny,stonewall national monument
guided tours,stri,tn,stones river national battlefield
guided tours,stsp,"dc,md,va",star-spangled banner national historic trail
guided tours,sucr,az,sunset crater volcano national monument
guided tours,tapr,ks,tallgrass prairie national preserve
guided tours,thco,ny,thomas cole national historic site
guided tours,this,dc,theodore roosevelt island
guided tours,thje,dc,thomas jefferson memorial
guided tours,thko,pa,thaddeus kosciuszko national memorial
guided tours,thrb,ny,theodore roosevelt birthplace national historic site
guided tours,thri,ny,theodore roosevelt inaugural national historic site
guided tours,thro,nd,theodore roosevelt national park
guided tours,thst,md,thomas stone national historic site
guided tours,tica,ut,timpanogos cave national monument
guided tours,timu,fl,timucuan ecological and historic preserve
guided tours,tont,az,tonto national monument
guided tours,tosy,ri,touro synagogue national historic site
guided tours,trte,"al,ar,ga,il,ky,mo,nc,ok,tn",trail of tears national historic trail
guided tours,tuai,al,tuskegee airmen national historic site
guided tours,tuin,al,tuskegee institute national historic site
guided tours,tule,ca,tule lake national monument
guided tours,tuma,az,tumacacori national historical park
guided tours,tupe,ms,tupelo national battlefield
guided tours,tuzi,az,tuzigoot national monument
guided tours,ulsg,mo,ulysses s grant national historic site
guided tours,vafo,pa,valley forge national historical park
guided tours,vall,nm,valles caldera national preserve
guided tours,valr,hi,pearl harbor national memorial
guided tours,vama,ny,vanderbilt mansion national historic site
guided tours,vick,"ms,la",vicksburg national military park
guided tours,viis,vi,virgin islands national park
guided tours,vive,dc,vietnam veterans memorial
guided tours,voya,mn,voyageurs national park
guided tours,waba,ok,washita battlefield national historic site
guided tours,waca,az,walnut canyon national monument
guided tours,waco,tx,waco mammoth national monument
guided tours,wamo,dc,washington monument
guided tours,wefa,ct,weir farm national historical park
guided tours,whho,dc,the white house and president's park
guided tours,whis,ca,whiskeytown national recreation area
guided tours,whmi,wa,whitman mission national historic site
guided tours,whsa,nm,white sands national park
guided tours,wica,sd,wind cave national park
guided tours,wicl,ar,president william jefferson clinton birthplace home national historic site
guided tours,wicr,mo,wilson's creek national battlefield
guided tours,wiho,oh,william howard taft national historic site
guided tours,wing,wa,wing luke museum affiliated area
guided tours,wori,ny,women's rights national historical park
guided tours,wotr,va,wolf trap national park for the performing arts
guided tours,wrst,ak,wrangell - st elias national park and preserve
guided tours,wupa,az,wupatki national monument
guided tours,wwii,dc,world war ii memorial
guided tours,wwim,dc,world war i memorial
guided tours,yell,"id,mt,wy",yellowstone national park
guided tours,york,va,yorktown battlefield part of colonial national historical park
guided tours,yose,ca,yosemite national park
guided tours,yuho,co,yucca house national monument
guided tours,zion,ut,zion national park
hands-on,abli,ky,abraham lincoln birthplace national historical park
hands-on,acad,me,acadia national park
hands-on,alka,hi,ala kahakai national historic trail
hands-on,appa,"ct,ga,ma,md,me,nc,nh,nj,ny,pa,tn,va,vt,wv",appalachian national scenic trail
hands-on,bith,tx,big thicket national preserve
hands-on,brca,ut,bryce canyon national park
hands-on,cajo,"va,md,de,dc,pa,ny",captain john smith chesapeake national historic trail
hands-on,cakr,ak,cape krusenstern national monument
hands-on,care,ut,capitol reef national park
hands-on,cham,tx,chamizal national memorial
hands-on,chic,ok,chickasaw national recreation area
hands-on,chpi,sc,charles pinckney national historic site
hands-on,cong,sc,congaree national park
hands-on,crla,or,crater lake national park
hands-on,cuva,oh,cuyahoga valley national park
hands-on,drto,fl,dry tortugas national park
hands-on,elro,ny,eleanor roosevelt national historic site
hands-on,ever,fl,everglades national park
hands-on,fomc,md,fort mchenry national monument and historic shrine
hands-on,fomr,va,fort monroe national monument
hands-on,fost,ny,fort stanwix national monument
hands-on,fosu,sc,fort sumter and fort moultrie national historical park
hands-on,frst,"de,pa",first state national historical park
hands-on,gero,in,george rogers clark national historical park
hands-on,glac,mt,glacier national park
hands-on,glca,"az,ut",glen canyon national recreation area
hands-on,grca,az,grand canyon national park
hands-on,grsa,co,great sand dunes national park and preserve
hands-on,grsm,"nc,tn",great smoky mountains national park
hands-on,guis,"fl,ms",gulf islands national seashore
hands-on,gwca,mo,george washington carver national monument
hands-on,hagr,ny,hamilton grange national memorial
hands-on,hamp,md,hampton national historic site
hands-on,hobe,al,horseshoe bend national military park
hands-on,hofr,ny,home of franklin d roosevelt national historic site
hands-on,hofu,pa,hopewell furnace national historic site
hands-on,iatr,wi,ice age national scenic trail
hands-on,jela,la,jean lafitte national historical park and preserve
hands-on,knri,nd,knife river indian villages national historic site
hands-on,kova,ak,kobuk valley national park
hands-on,laro,wa,lake roosevelt national recreation area
hands-on,liho,il,lincoln home national historic site
hands-on,long,ma,longfellow house washington's headquarters national historic site
hands-on,lowe,ma,lowell national historical park
hands-on,mabi,vt,marsh - billings - rockefeller national historical park
hands-on,maca,ky,mammoth cave national park
hands-on,mnrr,"sd,ne",missouri national recreational river
hands-on,mora,wa,mount rainier national park
hands-on,noat,ak,noatak national preserve
hands-on,noca,wa,north cascades national park
hands-on,npnh,ny,national parks of new york harbor
hands-on,npsa,as,national park of american samoa
hands-on,olym,wa,olympic national park
hands-on,orca,or,oregon caves national monument and preserve
hands-on,oxhi,md,oxon cove park and oxon hill farm
hands-on,pefo,az,petrified forest national park
hands-on,pinn,ca,pinnacles national park
hands-on,piro,mi,pictured rocks national lakeshore
hands-on,pisp,az,pipe spring national monument
hands-on,prwi,va,prince william forest park
hands-on,rira,mi,river raisin national battlefield park
hands-on,sacn,"wi,mn",saint croix national scenic riverway
hands-on,safr,ca,san francisco maritime national historical park
hands-on,saga,nh,saint-gaudens national historical park
hands-on,sahi,ny,sagamore hill national historic site
hands-on,sapa,ny,saint paul's church national historic site
hands-on,seki,ca,sequoia and kings canyon national parks
hands-on,semo,al,selma to montgomery national historic trail
hands-on,shen,va,shenandoah national park
hands-on,sitk,ak,sitka national historical park
hands-on,stea,pa,steamtown national historic site
hands-on,stri,tn,stones river national battlefield
hands-on,tapr,ks,tallgrass prairie national preserve
hands-on,thri,ny,theodore roosevelt inaugural national historic site
hands-on,vama,ny,vanderbilt mansion national historic site
hands-on,waba,ok,washita battlefield national historic site
hands-on,waco,tx,waco mammoth national monument
hands-on,wefa,ct,weir farm national historical park
hands-on,wori,ny,women's rights national historical park
hands-on,wupa,az,wupatki national monument
hands-on,yell,"id,mt,wy",yellowstone national park
hands-on,yose,ca,yosemite national park
hiking,acad,me,acadia national park
hiking,agfo,ne,agate fossil beds national monument
hiking,alka,hi,ala kahakai national historic trail
hiking,alpo,pa,allegheny portage railroad national historic site
hiking,amis,tx,amistad national recreation area
hiking,ania,ak,aniakchak national monument and preserve
hiking,anti,md,antietam national battlefield
hiking,apco,va,appomattox court house national historical park
hiking,apis,wi,apostle islands national lakeshore
hiking,appa,"ct,ga,ma,md,me,nc,nh,nj,ny,pa,tn,va,vt,wv",appalachian national scenic trail
hiking,arch,ut,arches national park
hiking,arpo,ar,arkansas post national memorial
hiking,asis,"md,va",assateague island national seashore
hiking,azru,nm,aztec ruins national monument
hiking,badl,sd,badlands national park
hiking,band,nm,bandelier national monument
hiking,bela,ak,bering land bridge national preserve
hiking,beol,co,bent's old fort national historic site
hiking,bibe,tx,big bend national park
hiking,bica,"mt,wy",bighorn canyon national recreation area
hiking,bicy,fl,big cypress national preserve
hiking,biho,mt,big hole national battlefield
hiking,biso,"ky,tn",big south fork national river and recreation area
hiking,bith,tx,big thicket national preserve
hiking,blca,co,black canyon of the gunnison national park
hiking,blri,"nc,va",blue ridge parkway
hiking,blue,wv,bluestone national scenic river
hiking,boha,ma,boston harbor islands national recreation area
hiking,bowa,va,booker t washington national monument
hiking,brca,ut,bryce canyon national park
hiking,buff,ar,buffalo national river
hiking,buis,vi,buck island reef national monument
hiking,cabr,ca,cabrillo national monument
hiking,cach,az,canyon de chelly national monument
hiking,caco,ma,cape cod national seashore
hiking,caha,nc,cape hatteras national seashore
hiking,cajo,"va,md,de,dc,pa,ny",captain john smith chesapeake national historic trail
hiking,cakr,ak,cape krusenstern national monument
hiking,cali,"ca,co,id,ks,mo,ne,nv,or,ut,wy",california national historic trail
hiking,cana,fl,canaveral national seashore
hiking,cane,ky,camp nelson national monument
hiking,cany,ut,canyonlands national park
hiking,care,ut,capitol reef national park
hiking,cato,md,catoctin mountain park
hiking,cave,nm,carlsbad caverns national park
hiking,cavo,nm,capulin volcano national monument
hiking,cebr,ut,cedar breaks national monument
hiking,cham,tx,chamizal national memorial
hiking,chat,ga,chattahoochee river national recreation area
hiking,chch,"ga,tn",chickamauga and chattanooga national military park
hiking,chcu,nm,chaco culture national historical park
hiking,chic,ok,chickasaw national recreation area
hiking,chir,az,chiricahua national monument
hiking,chis,ca,channel islands national park
hiking,choh,"dc,md,wv",chesapeake and ohio canal national historical park
hiking,chpi,sc,charles pinckney national historic site
hiking,ciro,id,city of rocks national reserve
hiking,colm,co,colorado national monument
hiking,cong,sc,congaree national park
hiking,coro,az,coronado national memorial
hiking,crla,or,crater lake national park
hiking,crmo,id,craters of the moon national monument and preserve
hiking,cuga,"ky,tn,va",cumberland gap national historical park
hiking,cuis,ga,cumberland island national seashore
hiking,cure,co,curecanti national recreation area
hiking,cuva,oh,cuyahoga valley national park
hiking,cwdw,"dc,md,va",civil war defenses of washington
hiking,dena,ak,denali national park and preserve
hiking,depo,ca,devils postpile national monument
hiking,deto,wy,devils tower national monument
hiking,deva,"ca,nv",death valley national park
hiking,dewa,"nj,pa",delaware water gap national recreation area
hiking,dino,"co,ut",dinosaur national monument
hiking,ebla,wa,ebey's landing national historical reserve
hiking,efmo,ia,effigy mounds national monument
hiking,elca,"nm,tx",el camino real de tierra adentro national historic trail
hiking,elma,nm,el malpais national monument
hiking,elmo,nm,el morro national monument
hiking,elro,ny,eleanor roosevelt national historic site
hiking,ever,fl,everglades national park
hiking,flfo,co,florissant fossil beds national monument
hiking,flni,pa,flight 93 national memorial
hiking,fobo,az,fort bowie national historic site
hiking,fobu,wy,fossil butte national monument
